city_id,address,duration,name,ranking_interest,photo,description,price,activity_types
1,"Piazza del Duomo, 50122 Firenze FI, Italie",60, Le Dôme de Florence,4.5,dome.jpg,"Le site le plus populaire à visiter à Florence est certainement son Duomo (cathédrale), la Cattedrale de Santa Maria del Fiore. La construction de l’immense cathédrale gothique a débuté en 1296, a été consacrée en 1436, et peut ajourd’hui accueillir jusqu’à 20 000 personnes. Son extérieur, fait de marbre vert, rose et blanc, possède plusieurs portes élaborées et des statues qui méritent le coup d’oeil. A l’intérieur, le dôme de Brunelleschi est un véritable chef-d’œuvre. L’entrée dans la cathédrale est gratuite mais prenez un billet pour gravir les 463 marches jusqu’à son sommet (comptez 10€) : la vue en vaut le coup. Ce ticket vous permettra en outre de monter à la tour Campanile de Giotto, d’entrer au Baptistère Saint-Jean, et à la crypte Santa Reparata.",18,culture
1,"Piazza della Signoria, 50122 Firenze FI, Italie",120,Palazzo Vecchio,4.5,palazzo_vecchio.jpg,"C’est autour de la plus célèbre place de Florence que débutent vos premières découvertes. Cœur du centre historique, véritable scène artistique et centre politique de la ville depuis le Moyen-Âge, la Piazza della Signoria héberge quelques pépites incontournables à votre voyage comme diverses sculptures (notamment une copie du David de Michel-Ange). Si la Loggia della Signoria et sa galerie à voûtes en arcades est à voir, l’hôtel de ville de Florence lui, s’impose à vos déambulations.

De style médiéval, le Palazzo Vecchio (ou Palais Vecchio) a été construit à la fin du 13ème/début du 14ème siècle pour abriter les bureaux du gouvernement de la (nouvellement créée) République florentine. L’architecte qui a donné naissance au Palazzo Vecchio n’est autre qu’Arnolfo di Cambio qui a notamment élaboré la Cathédrale de Florence.",10,culture
1,"Piazza del Duomo, 50122 Firenze FI, Italie",120,Le Campanile de Giotto,4.5,campagnile_giotto.jpg,"La tour Campanile de Giotto (clocher) se trouve sur la Piazza del Duomo. Le premier étage a été conçu par Giotto, d’où son oeuvre éponyme. Au début, Giotto projetait d’élever la tour à 110-115 mètres, mais il meurt en 1337 laissant le chantier inachevé… Dressée à finalement 85 mètres de hauteur, la fameuse tour fait tout de même son effet. Décorée avec goût, elle détient un atout indéniable qui en fait toute sa popularité. Pour le découvrir, commencez par monter les 414 marches du monument. C’est au bout de cet effort que vous attend le clou du spectacle : une vue imprenable sur toute la ville de Florence et ses alentours qui à coups sûrs, vous promet de beaux souvenirs de carte postale.

",18,culture
1,"Basilica di Santa Maria Novella",30,Santa Maria Novella,4.5,santa_maria_novella.jpg,"A quelques pas de là se trouve le quartier Santa Maria Novella. Réputé pour son église éponyme qui trône là, gigantesque, le quartier appelle avant tout à la déambulation et aux pauses cappuccino en terrasse dans les divers cafés qu’il héberge. Au fil des charmantes ruelles, partez à la découverte de sa principale curiosité, l’Officina Profumo- Farmaceutica di Santa Maria Novella. Siégeant parmi les plus vieilles pharmacies du monde, l’Officina est une institution et pour cause, a Reine d’Angleterre fait partie de ses plus fidèles clients. A l’intérieur, vous retrouverez un large choix de produits naturels et bio qui font la réputation de la pharmacie : crèmes, soins, élixirs… Il y en a pour tous les profils !",0,culture
1,"Piazza San Marco, 3, 50121 Firenze FI, Italie",90,Musée di San Marco,4.5,musee_sin_marco.jpg,"Installé Piazza San Marco (non loin du Duomo), le Musée di San Marco était à l’époque un couvent dominicain. Aujourd’hui ouvert au public, il héberge la plus grande collection de peintures de Fra Angelico du monde, peintre et moine de renom. Tout autour et à l’étage supérieur du cloître Saint-Antoine, la salle de l’hospice, le grand réfectoire et même les cellules des dortoirs vous accueillent pour découvrir des fresques religieuses aujourd’hui considérées comme de véritables œuvres d’art.",15.75,culture
1,"Piazza de' Pitti, 1, 50125 Firenze FI, Italie",90,Palais Pitti,4.5,pitti.jpg,"Depuis le Duomo ou au gré de votre balade dans le centre historique de Florence, prenez un temps pour visiter le Palais Pitti – Palazzo Pitti. Ancienne résidence des Médicis, le Palais est aujourd’hui un témoin du patrimoine local. Hébergeant 6 musées et 3 jardins, il s’impose comme l’un des plus grands musées de la ville.
Parmi les visites les plus prisées, la Galerie Palatine qu’il abrite également, sort littéralement du lot avec sa vingtaine de salles d’exposition ! Ornées de fresques ou de trompes l’œil, toutes possèdent une collection de tableaux époustouflante dont certaines œuvres auraient du être exposées à la Galerie des Offices mais qui, faute de place, sont restées au Palais Pitti.

",16,culture
1,"Piazza de' Pitti, 1, 50125 Firenze FI, Italie",120,Jardin de Boboli,4.5,boboli.jpg,"Situé juste derrière le Palais Pitti, le Jardin de Boboli intègre indéniablement les merveilles de Florence. Souvent comparé à ceux de Versailles, le Jardin de Boboli offre une parenthèse luxuriante et luxueuse digne des plus grands contes de fée. Musée de la Porcelaine, Galerie des Costumes, Grande Grotte, Kaffeehaus, Il Viottolone mais aussi fontaines et parterres de roses et de dahlias dressent le portrait d’un lieu hors du temps, sublimé par de précieux héritages",17.75,visit
1,"Ponte Vecchio, 50125 Firenze FI, Italie",30, Ponte Vecchio,4.5,ponte_vecchio.jpg,"Edifié en 1345, le Ponte Vecchio (vieux pont) fut le premier pont de Florence enjambant l’Arno. C’est aussi le seul à avoir survécu à l’époque médiévale de Florence (d’autres ponts ont été détruits lors de la Seconde Guerre mondiale). Aussi célèbre que les monuments qui font de Florence une ville à la beauté si particulière, le Ponte Vecchio se traverse en empruntant le Corridor de Vasari, un passage secret construit par Vasari pour le duc Cosme Ier de Toscane en 1565 reliant le Palazzo Vecchio au Palais Pitti. Depuis le pont, profitez également d’une vue magnifique sur le fleuve Arno et les paysages environnants : l’arrêt mérite quelques beaux clichés. C’est d’ailleurs aux abords du pont que vous pourrez également découvrir des commerces authentiques. Ici et là ont été conservées des boutiques vendant de l’or et des bijoux en argent, typiques des lieux !",0,culture
1,"Il Campo, 53100 Siena SI, Italie",30,"Piazza del Campo,",5,piazza_del_campo.jpeg,"C'est une des plus harmonieuses, une des plus belles places du monde.
Son aspect en forme de coquillage fut décidé en 1293 par le conseil des Neufs, à l'époque où la cité était puissante et indépendante. Elle est dominée par le Palazzo Pubblico et sa tour médiévale de 102m (la deuxième plus haute d'Italie, 1342), abritant notamment le Museo Civico. Le pavage de briques rouges de la Piazza del Campo est en forme de coquillage, il est scindé en neuf secteurs - symbole du Conseil des Neuf - et fut terminé en 1349. Le reste des batiments qui entourent la place est constitué par des cafés, restaurants et palais médiévaux de belle facture. Le célèbre Palio - course de chevaux - s'y déroule tous les ans, les 2 juillet et 16 août.",0,culture
1,"Piazza del Mercato Centrale",60,Le Marché de San Lorenzo,4.5,marche_san_lorenzo.jpg,"Même si vous n’êtes pas fans de shopping et si vous vous demandez que faire à Florence outre ses monuments, une promenade à travers les célèbres marchés de cuir mérite d’accorder quelques minutes de votre temps. Le marché près de la basilique de San Lorenzo est sympathique : en le traversant, vous arrivez ensuite sur le Mercato Centrale, un marché couvert installé au coeur d’un bâtiment du 19ème siècle et dans lequel vous trouverez d’innombrables stands de nourriture.",0,visit
